Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,Flag 1 not used,Flag 2 not used,Flag 3 not used,Flag 4 not used,Flag 5 not used,Flag 6 not used,Flag 7 not used,Flag 8 not used,Value new (USD),Value used (USD),Launch date,Exit date
"30392-1","Harry Potter","General",2021,"Hermione's Study Desk",1,31,,,,,,673419341714,17,17,0.6,,"",0,0,0,,0,0,,,,,,,,,5.6400,,"01/08/2021","31/12/2022"
"40452-1","Harry Potter","Promotional",2021,"Hogwarts Gryffindor Dorms",2,148,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,39.7900,,"",""
"40500-1","Harry Potter","General",2021,"Wizarding World Minifigure Accessory Set",4,33,13.49,14.99,19.99,14.99,,673419345804,25,15,3.2,,"",0,0,0,,0,0,,,,,,,,,20.5600,,"01/06/2021","31/12/2021"
"76382-1","Harry Potter","Hogwarts Moments",2021,"Hogwarts Moment: Transfiguration Class",3,241,27.99,29.99,39.99,29.99,5702016913576,,19.1,26.2,6.1,,"",0,0,0,,0,0,,,,,,,,,24.5100,15.0000,"01/01/2021","31/12/2022"
"76383-1","Harry Potter","Hogwarts Moments",2021,"Hogwarts Moment: Potions Class",3,271,27.99,29.99,39.99,29.99,5702016912944,,19.1,26.2,6.1,,"",0,0,0,,0,0,,,,,,,,,27.8900,,"01/01/2021","31/12/2022"
"76384-1","Harry Potter","Hogwarts Moments",2021,"Hogwarts Moment: Herbology Class",3,233,27.99,29.99,39.99,29.99,5702016912951,,19.1,26.2,6.1,,"",0,0,0,,0,0,,,,,,,,,27.8400,,"01/01/2021","31/12/2021"
"76385-1","Harry Potter","Hogwarts Moments",2021,"Hogwarts Moment: Charms Class",3,256,27.99,29.99,39.99,29.99,5702016913491,,19.1,26.2,6.1,,"",0,0,0,,0,0,,,,,,,,,27.8600,,"01/01/2021","31/12/2021"
"76386-1","Harry Potter","Chamber of Secrets",2021,"Hogwarts: Polyjuice Potion Mistake",4,217,17.99,19.99,24.99,19.99,5702016913507,673419339735,26.2,14.1,7.2,,"",0,0,0,,0,0,,,,,,,,,20.6200,12.0000,"01/06/2021","31/12/2022"
"76387-1","Harry Potter","Philosopher's Stone",2021,"Hogwarts: Fluffy Encounter",4,397,34.99,39.99,49.99,39.99,5702016912968,673419341776,28.2,26.2,7.6,,"",0,0,0,,0,0,,,,,,,,,38.0000,,"01/06/2021","31/12/2022"
"76388-1","Harry Potter","Prisoner of Azkaban",2021,"Hogsmeade Village Visit",7,851,69.99,79.99,109.99,79.99,5702016913675,673419340458,48,28.2,7.4,,"",0,0,0,,0,0,,,,,,,,,75.0400,,"01/06/2021","31/12/2024"
"76389-1","Harry Potter","Chamber of Secrets",2021,"Hogwarts Chamber of Secrets",11,1176,129.99,129.99,169.99,139.99,5702016913583,673419340113,58.2,37.8,8.7,,"",0,0,0,,0,0,,,,,,,,,133.9000,,"01/06/2021","31/12/2024"
"76390-1","Harry Potter","Seasonal",2021,"Harry Potter Advent Calendar",6,274,24.99,39.99,49.99,29.99,5702016913804,,38.2,26.2,7.1,,"",0,0,0,,0,0,,,,,,,,,33.8100,,"01/09/2021","31/12/2021"
"76391-1","Harry Potter","General",2021,"Hogwarts Icons Collectors' Edition",3,3010,229.99,249.99,349.99,249.99,5702016913415,,58.2,48,12.4,,"",1,1,0,,0,1,,,,,,,,,308.0200,,"02/09/2021","31/12/2024"
"76392-1","Harry Potter","Philosopher's Stone",2021,"Hogwarts Wizard's Chess",4,876,64.99,59.99,79.99,69.99,5702016971620,673419344869,38.2,26.2,7.1,,"",0,0,0,,0,0,,,,,,,,,85.0100,,"01/06/2021","31/12/2022"
"76393-1","Harry Potter","General",2021,"Harry Potter & Hermione Granger",,1673,119.99,119.99,159.99,129.99,5702016971637,673419344876,48,37.8,9.4,,"",0,0,0,,0,0,,,,,,,,,131.3200,106.1800,"01/06/2021","31/12/2022"
"76394-1","Harry Potter","General",2021,"Fawkes, Dumbledore's Phoenix",1,597,34.99,39.99,49.99,39.99,5702016971651,673419344883,28.2,26.2,5.9,,"",0,0,0,,0,0,,,,,,,,,45.1200,,"01/06/2021","31/12/2022"
"76395-1","Harry Potter","Philosopher's Stone",2021,"Hogwarts: First Flying Lesson",5,264,27.99,29.99,39.99,29.99,5702017006185,,35.4,19.1,5.9,,"",0,0,0,,0,0,,,,,,,,,30.3000,,"01/06/2021","31/12/2022"







